,date,text
89,2020-11-11 18:49:05,"🚨الموثوق @ExWHUemployee | أجرى ويست هام محادثات مع ميكائيل انتونيو بشأن تمديد عقده الذي ينتهي مع نهاية الموسم الحالي

هناك بعض الخلافات حول مدة العقد الذي يطلبها انتونيو مقارنة باللتي قدمها له النادي ، هذا هو سبب استمرار المفاوضات للان .. https://t.co/nJtwfEsyn1"
90,2020-11-11 18:35:26,رسميا : كريستيان بولسيتش ينسحب من معسكر المنتخب الامريكي ويعود الى تشيلسي بسبب الاصابة ! https://t.co/w6PcUYWtLD
91,2020-11-11 18:26:53,تشكيلة الأسبوع من @EASPORTSFIFA تشهد تواجد 4 لاعبين من البريميرليغ 🤩🔝 https://t.co/9FBr5UcnTD
92,2020-11-11 18:06:15,"⚠️ 50 يوم فقط ويستطيع ميسي التفاوض والتوقيع مع أي نادي يُريده دون الرجوع لرأي النادي 

هل سنراه في مكان آخر وتنتهي قصته مع برشلونة أم سيُجدد عقده❓ https://t.co/s5tO2fQw6z"
93,2020-11-11 18:01:54,"🎙 أليسون :"" لدي رغبة في العودة إلى البرازيل , ولكن متى يحدث ذلك ؟ فقط الله يعلم , رغبة قلبي هي العودة إلى إنترناسيونال , بيتي  , النادي الذي أحبه"" https://t.co/5AcZ18mp7Q"
94,2020-11-11 17:57:32,"🎙 ديدييه ديشامب ( عن اختيار كورت زوما على أوباميكانو ولابورت في فرنسا ) :"" إذا اخترته فهذا لأنني أعتقد أنه أفضل منهم بسبب مايقوم به في تشيلسي "" https://t.co/0G4F7pN926"
95,2020-11-11 17:54:21,"⚠️ مع إصابة فان دايك وغوميز وارنولد هذه التشكيلة التي قد يُشارك بها ليفربول حتى يعودوا

هل ترى بأن باستطاعتهم المنافسة على المدى القريب 🧐 https://t.co/450APoq9Yt"
96,2020-11-11 17:53:52,💡هل تعلم | لعب دييجو مارادونا ذات مرة بقميص نادي توتنهام. ارتدى الاسطورة القميص رقم 10 للسبيرز في مباراة تكريم زميله أوسي أرديليس ضد إنتر ميلان عام 1986. فاز توتنهام بالمباراة 2-1. https://t.co/xMT6uAQjBm
97,2020-11-11 17:52:39,"⚠️ الموثوق دافيد اورنستين :"" مانشستر سيتي مُعجب جداً بـ جاك غراليش "" https://t.co/J7iX0Q7RMj"
98,2020-11-11 17:50:10,"🎙 رونالد كومان ( عن التعاقد مع غارسيا ) :"" حسناً لا أعلم , الأمر يعتمد على مانشستر سيتي "" https://t.co/U3RHN9Lkzy"
